script_id,script_month,hcp_id,rep_id,product_id,region_id,script_count
S0017436,2024-08-01,HCP0468,REP024,P05,R05,1
S0011661,2024-05-01,HCP0310,REP036,P04,R05,4
S0014907,2024-11-01,HCP0401,REP007,P01,R04,8
S0011248,2024-05-01,HCP0300,REP001,P05,R03,1
S0017667,2024-09-01,HCP0475,REP020,P01,R04,4
S0021450,2024-07-01,HCP0580,REP037,P01,R01,9
S0010898,2024-01-01,HCP0291,REP012,P03,R01,1
S0021672,2024-11-01,HCP0587,REP035,P01,R03,1
S0013794,2024-06-01,HCP0367,REP008,P03,R04,6
S0010320,2024-11-01,HCP0276,REP003,P03,R01,7
S0012282,2024-02-01,HCP0326,REP033,P01,R01,1
S0002982,2024-04-01,HCP0078,REP020,P03,R04,9
S0019766,2024-03-01,HCP0533,REP035,P03,R03,2
S0018819,2024-02-01,HCP0506,REP039,P03,R04,3
S0001699,2024-05-01,HCP0045,REP011,P04,R05,2
S0019679,2024-08-01,HCP0530,REP014,P04,R01,6
S0013723,2024-05-01,HCP0364,REP021,P05,R03,1
S0021887,2024-12-01,HCP0592,REP036,P03,R05,1
S0013143,2024-11-01,HCP0349,REP036,P01,R05,1
S0017324,2024-05-01,HCP0465,REP022,P03,R02,1
S0016264,2024-04-01,HCP0437,REP011,P04,R05,3
S0009422,2024-03-01,HCP0251,REP025,P05,R02,11
S0004833,2024-08-01,HCP0127,REP009,P05,R04,4
S0002309,2024-11-01,HCP0061,REP021,P01,R03,1
S0004045,2024-05-01,HCP0106,REP027,P05,R02,8
S0017470,2024-09-01,HCP0469,REP026,P03,R04,2
S0020691,2024-11-01,HCP0559,REP004,P01,R02,5
S0015715,2024-10-01,HCP0422,REP039,P02,R04,3
S0014642,2024-12-01,HCP0392,REP007,P04,R04,3
S0016759,2024-10-01,HCP0450,REP011,P05,R05,3
S0014804,2024-09-01,HCP0397,REP036,P02,R05,0
S0008645,2024-05-01,HCP0230,REP012,P04,R01,5
S0021705,2024-10-01,HCP0587,REP035,P04,R03,8
S0021833,2024-12-01,HCP0590,REP008,P03,R04,7
S0020324,2024-11-01,HCP0548,REP008,P02,R04,2
S0005113,2024-10-01,HCP0136,REP033,P03,R01,14
S0007555,2024-09-01,HCP0201,REP018,P03,R05,3
S0015355,2024-04-01,HCP0412,REP035,P03,R03,7
S0020675,2024-06-01,HCP0558,REP012,P03,R01,3
S0001202,2024-06-01,HCP0032,REP003,P02,R01,1
S0003669,2024-09-01,HCP0096,REP040,P01,R02,3
S0012544,2024-06-01,HCP0333,REP001,P01,R03,0
S0018270,2024-12-01,HCP0491,REP036,P05,R05,2
S0018500,2024-10-01,HCP0498,REP020,P02,R04,7
S0020756,2024-07-01,HCP0561,REP021,P04,R03,9
S0003046,2024-09-01,HCP0080,REP019,P01,R03,1
S0013195,2024-06-01,HCP0350,REP018,P02,R05,10
S0012661,2024-06-01,HCP0336,REP018,P03,R05,2
S0014371,2024-08-01,HCP0384,REP033,P05,R01,2
S0020377,2024-04-01,HCP0549,REP030,P03,R03,0
S0020223,2024-04-01,HCP0546,REP022,P03,R02,5
S0007113,2024-08-01,HCP0188,REP034,P03,R01,1
S0007696,2024-01-01,HCP0206,REP039,P01,R04,16
S0017886,2024-01-01,HCP0481,REP026,P05,R04,12
S0015064,2024-08-01,HCP0405,REP032,P03,R02,13
S0020889,2024-02-01,HCP0564,REP034,P04,R01,2
S0020214,2024-07-01,HCP0546,REP022,P02,R02,4
