call_id,rep_id,hcp_id,call_date,call_type,duration_min
C004576,REP021,HCP0586,2024-11-23,Phone ,14.2
C001489,REP007,HCP0423,26-May-2024,In-Person,13.7
C004971,REP022,HCP0288,28-Sep-2024,Virtual,9.1
C008010,REP036,HCP0266,2024-05-12,Phone,17.0
C003028,REP014,HCP0474,08-Jun-2024,Phone,34.6
C004826,REP022,HCP0182,01/07/2024,Virtual,13.0
C006933,REP032,HCP0019,01/16/2024,Virtual,12.1
C006867,REP031,HCP0158,27-Apr-2024,In-Person,18.7
C007289,REP033,HCP0356,06/13/2024,In-Person,21.5
C004664,REP021,HCP0144,21-Aug-2024,In-Person,18.2
C001157,REP005,HCP0405,02/10/2024,Virtual,19.3
C002919,REP014,HCP0047,14-Apr-2024,Virtual,22.8
C007934,REP036,HCP0247,26-Oct-2024,In-Person,22.4
C003038,REP014,HCP0064,2024-11-05,Virtual,14.5
C001747,REP009,HCP0337,26-Jul-2024,Virtual,18.7
C006338,REP029,HCP0086,19-Mar-2024,Virtual,10.3
C000316,REP002,HCP0496,2024-11-23,In-Person,12.2
C003456,REP017,HCP0181,2024-06-09,In-Person,15.8
C005247,REP024,HCP0347,28-Aug-2024,Virtual,12.4
C008287,REP037,HCP0558,16-Sep-2024,In-Person,19.2
C008027,REP036,HCP0396,05/18/2024,Phone,27.4
C003203,REP015,HCP0098,27-Jun-2024,Virtual,22.1
C006413,REP029,HCP0392,05-Dec-2024,Phone,10.1
C001502,REP007,HCP0522,30-Dec-2024,In-Person,11.3
C000170,REP001,HCP0596,26-Apr-2024,Virtual,6.8
C003847,REP018,HCP0038,2024-04-12,In-Person,19.8
C000213,REP001,HCP0445,2024-09-18,Virtual,10.2
C008110,REP037,HCP0043,2024-12-07,Phone,15.0
C005213,REP024,HCP0468,26-Jan-2024,Virtual,17.0
C005010,REP023,HCP0150,05/03/2024,Phone,21.0
C004473,REP021,HCP0561,15-Sep-2024,Virtual,15.1
C000583,REP003,HCP0239,11-Jul-2024,Phone,11.4
C006154,REP028,HCP0386,11/17/2024,Virtual,16.2
C004175,REP020,HCP0599,2024-10-11,Virtual ,13.8
C006044,REP027,HCP0151,24-Sep-2024,Virtual,16.3
C001045,REP005,HCP0040,2024-03-19,  Virtual,11.7
C007516,REP034,HCP0528,11/29/2024,In-Person,10.0
C008187,REP037,HCP0425,14-Aug-2024,Virtual,16.7
C008290,REP037,HCP0005,04/25/2024,  In-Person,
C001650,REP008,HCP0079,10/01/2024,In-Person,23.4
C005993,REP027,HCP0455,12/07/2024,In-Person,24.2
C002253,REP011,HCP0538,2024-02-16,In-Person ,21.5
C007768,REP035,HCP0010,09-May-2024,Phone,20.9
C007170,REP033,HCP0504,16-Nov-2024,In-Person ,20.3
C000361,REP002,HCP0173,07/28/2024,Virtual,12.4
C008328,REP037,HCP0194,09-Nov-2024,Phone,25.3
C000568,REP003,HCP0429,2024-07-11,In-Person,21.3
C002883,REP013,HCP0229,20-May-2024,Virtual,
C006124,REP028,HCP0131,03/23/2024,Phone,19.9
C000961,REP005,HCP0414,22-Dec-2024,Virtual,25.3
C006776,REP031,HCP0302,09-Aug-2024,In-Person,20.2
C000759,REP004,HCP0589,02/19/2024,Phone,16.5
C005188,REP024,HCP0138,05/31/2024,Virtual,
C003397,REP016,HCP0148,10-Dec-2024,  Virtual,16.0
C008835,REP040,HCP0348,2024-05-09,Virtual,17.6
