player_id,install_date,platform,country,acquisition_channel,is_payer,early_sessions,early_matches,early_playmin,lifetime_usd,last_active_day
1,2026-01-14 09:28:00,Ios,IN,organic,0,1,0.0,13.0,0.0,0
2,2026-01-03 21:26:00,Android,US,cross_promo,0,5,6.0,52.0,0.0,13
3,2026-03-08 22:08:00,Android,BR,organic,0,10,3.0,172.0,0.0,113
4,2026-03-11 15:12:00,Android,US,organic,1,9,3.0,155.0,17.66,103
5,2026-03-07 16:49:00,Ios,GB,influencer,0,7,1.0,70.0,0.0,12
6,2026-03-14 11:31:00,Ios,US,organic,0,1,0.0,14.0,0.0,0
7,2026-01-22 21:30:00,Ios,DE,organic,0,2,2.0,4.0,0.0,0
8,2026-01-02 18:13:00,Android,TR,unknown,1,9,4.0,82.0,14.69,5
9,2026-02-18 16:11:00,Android,DE,paid_social,0,8,7.0,93.0,0.0,4
10,2026-03-19 05:13:00,Android,IN,paid_social,0,1,0.0,13.0,0.0,0
11,2026-01-09 21:23:00,Web,JP,organic,0,1,0.0,25.0,0.0,0
12,2026-01-23 04:21:00,Android,GB,organic,0,1,0.0,15.0,0.0,0
13,2026-03-13 23:24:00,Ios,GB,organic,0,2,0.0,33.0,0.0,0
14,2026-02-07 14:06:00,Android,DE,organic,0,1,1.0,12.0,0.0,0
15,2026-02-16 19:29:00,Ios,BR,cross_promo,0,3,0.0,33.0,0.0,0
16,2026-01-26 21:23:00,Android,TR,cross_promo,0,3,1.0,46.0,0.0,2
17,2026-02-09 08:47:00,Android,GB,organic,0,2,3.0,19.0,0.0,0
18,2026-03-26 04:33:00,Ios,GB,influencer,0,13,1.0,239.0,0.0,116
19,2026-02-01 08:56:00,Web,DE,influencer,0,7,5.0,102.0,0.0,10
20,2026-03-20 09:22:00,Ios,IN,paid_social,0,9,6.0,85.0,0.0,6
21,2026-01-28 22:20:00,Android,DE,paid_social,0,2,0.0,29.0,0.0,102
22,2026-01-18 18:05:00,Web,US,organic,1,4,2.0,39.0,25.09,1
23,2026-03-25 19:57:00,Android,DE,organic,0,6,5.0,112.0,0.0,117
24,2026-01-24 02:48:00,Android,JP,paid_social,0,9,5.0,117.0,0.0,105
25,2026-03-24 12:34:00,Android,BR,organic,1,7,8.0,101.0,18.52,116
26,2026-01-21 11:57:00,Android,DE,organic,0,2,4.0,17.0,0.0,0
27,2026-01-25 19:31:00,Android,FR,organic,0,7,8.0,77.0,0.0,2
28,2026-01-02 14:47:00,Android,US,organic,0,2,2.0,35.0,0.0,0
29,2026-02-06 08:55:00,Android,US,organic,0,1,0.0,22.0,0.0,0
30,2026-02-13 06:05:00,Ios,US,organic,0,11,9.0,155.0,0.0,14
31,2026-03-29 22:05:00,Android,US,cross_promo,0,1,2.0,12.0,0.0,119
32,2026-02-08 22:29:00,Ios,IN,influencer,0,9,9.0,109.0,0.0,114
33,2026-03-08 16:55:00,Ios,US,paid_social,0,4,1.0,52.0,0.0,0
34,2026-01-26 04:06:00,Android,GB,cross_promo,0,1,3.0,8.0,0.0,0
35,2026-01-22 11:13:00,Ios,DE,organic,0,8,4.0,57.0,0.0,8
36,2026-02-24 20:30:00,Android,US,influencer,0,9,4.0,154.0,0.0,115
37,2026-02-10 06:52:00,Android,unknown,paid_social,0,4,4.0,32.0,0.0,9
38,2026-02-06 08:59:00,Ios,FR,influencer,0,6,7.0,60.0,0.0,6
39,2026-02-07 13:50:00,Android,FR,organic,0,7,4.0,105.0,0.0,94
40,2026-01-02 10:54:00,Ios,GB,organic,0,3,0.0,32.0,0.0,0
41,2026-01-19 17:17:00,Web,DE,organic,0,6,0.0,57.0,0.0,5
42,2026-01-01 12:29:00,Web,BR,influencer,0,1,0.0,11.0,0.0,115
43,2026-03-17 01:26:00,Android,US,cross_promo,0,5,3.0,50.0,0.0,0
44,2026-01-27 10:03:00,Android,unknown,organic,0,11,4.0,99.0,0.0,13
45,2026-01-13 03:31:00,Android,TR,paid_social,0,7,7.0,98.0,0.0,20
46,2026-01-21 13:16:00,Ios,IN,cross_promo,0,9,6.0,96.0,0.0,6
47,2026-01-16 10:44:00,Android,IN,influencer,0,8,7.0,81.0,0.0,6
48,2026-01-10 02:37:00,Android,BR,organic,0,4,2.0,42.0,0.0,1
49,2026-02-10 17:04:00,Ios,US,organic,1,11,5.0,178.0,15.83,117
50,2026-02-20 08:03:00,Android,IN,organic,0,3,4.0,29.0,0.0,0
51,2026-02-22 17:22:00,Ios,US,organic,0,8,8.0,110.0,0.0,3
52,2026-02-17 16:47:00,Ios,BR,organic,0,9,2.0,103.0,0.0,7
53,2026-01-26 11:43:00,Android,GB,influencer,0,9,6.0,121.0,0.0,3
54,2026-01-07 16:43:00,Android,JP,influencer,0,1,0.0,7.0,0.0,0
55,2026-03-23 20:52:00,Android,IN,organic,0,9,7.0,90.0,0.0,7
56,2026-03-31 01:08:00,Android,FR,paid_social,0,2,4.0,12.0,0.0,102
57,2026-02-10 23:17:00,Android,GB,unknown,0,11,7.0,133.0,0.0,3
58,2026-03-04 15:49:00,Ios,IN,organic,0,2,4.0,17.0,0.0,0
59,2026-03-06 02:52:00,Android,GB,paid_social,0,3,3.0,23.0,0.0,0
60,2026-03-25 18:20:00,Ios,IN,organic,1,12,7.0,193.0,3.41,115
61,2026-02-18 20:29:00,Android,DE,influencer,0,9,3.0,144.0,0.0,8
62,2026-03-14 17:04:00,Android,BR,organic,0,7,5.0,82.0,0.0,9
63,2026-01-25 20:53:00,Android,TR,organic,0,2,2.0,30.0,0.0,0
64,2026-02-28 06:38:00,Android,IN,organic,0,7,7.0,91.0,0.0,3
65,2026-03-23 14:15:00,Ios,BR,organic,0,5,1.0,68.0,0.0,0
66,2026-01-21 01:02:00,Ios,BR,organic,0,7,9.0,99.0,0.0,107
67,2026-02-09 11:41:00,Android,GB,cross_promo,0,2,2.0,21.0,0.0,0
68,2026-02-21 08:47:00,Ios,JP,organic,0,1,0.0,15.0,0.0,0
69,2026-02-17 06:55:00,Ios,DE,organic,0,1,0.0,14.0,0.0,0
70,2026-01-31 13:10:00,Ios,US,influencer,0,5,2.0,44.0,0.0,2
71,2026-03-31 18:23:00,Android,IN,paid_social,0,1,2.0,8.0,0.0,0
72,2026-03-27 00:23:00,Ios,BR,paid_social,0,3,3.0,29.0,0.0,1
73,2026-01-13 00:42:00,Android,US,influencer,0,4,4.0,65.0,0.0,0
74,2026-01-12 02:09:00,Ios,US,paid_social,0,3,4.0,58.0,0.0,104
75,2026-03-23 05:22:00,Ios,DE,unknown,0,2,1.0,8.0,0.0,0
76,2026-02-20 12:44:00,Ios,IN,paid_social,0,11,4.0,134.0,0.0,5
77,2026-03-28 10:19:00,Android,FR,organic,0,3,1.0,17.0,0.0,0
78,2026-01-12 02:20:00,Android,US,influencer,0,6,9.0,50.0,0.0,19
79,2026-03-03 09:43:00,Android,IN,cross_promo,0,1,1.0,7.0,0.0,0
80,2026-03-05 20:12:00,Android,US,organic,0,5,0.0,60.0,0.0,2
81,2026-01-01 14:02:00,Web,US,paid_social,0,1,4.0,13.0,0.0,0
82,2026-01-05 14:30:00,Ios,US,organic,0,5,3.0,36.0,0.0,1
83,2026-03-08 07:33:00,Android,TR,unknown,0,1,3.0,9.0,0.0,0
84,2026-02-17 15:27:00,Ios,unknown,influencer,0,2,1.0,17.0,0.0,0
85,2026-01-26 13:20:00,Android,IN,influencer,0,1,0.0,9.0,0.0,118
86,2026-02-01 21:47:00,Android,US,organic,0,8,8.0,125.0,0.0,113
87,2026-01-04 14:56:00,Ios,IN,unknown,0,2,0.0,42.0,0.0,0
88,2026-01-06 23:15:00,Ios,GB,paid_social,0,6,7.0,60.0,0.0,111
89,2026-03-15 21:29:00,Android,DE,paid_social,0,1,0.0,16.0,0.0,0
90,2026-02-05 14:28:00,Web,BR,organic,0,1,2.0,2.0,0.0,0
91,2026-03-02 11:00:00,Ios,US,paid_social,0,2,2.0,15.0,0.0,0
92,2026-01-28 11:33:00,Ios,IN,paid_social,0,2,0.0,18.0,0.0,0
93,2026-01-15 02:09:00,Android,DE,influencer,0,3,4.0,18.0,0.0,0
94,2026-01-02 13:21:00,Android,DE,organic,0,1,1.0,9.0,0.0,0
95,2026-01-13 15:22:00,Ios,US,paid_social,0,7,1.0,57.0,0.0,2
96,2026-01-21 21:51:00,Android,GB,paid_social,0,2,0.0,14.0,0.0,0
97,2026-01-01 02:05:00,Android,IN,cross_promo,0,6,4.0,60.0,0.0,5
98,2026-02-02 18:37:00,Android,GB,organic,0,2,0.0,16.0,0.0,92
99,2026-01-09 16:29:00,Android,unknown,influencer,0,9,6.0,122.0,0.0,119
100,2026-03-22 03:27:00,Android,US,organic,0,2,3.0,21.0,0.0,106
101,2026-03-13 21:52:00,Web,IN,organic,0,3,0.0,29.0,0.0,0
102,2026-03-27 15:20:00,Android,IN,organic,0,9,3.0,128.0,0.0,118
103,2026-03-25 14:00:00,Web,US,paid_social,0,1,3.0,15.0,0.0,0
104,2026-02-04 09:47:00,Ios,US,organic,0,1,2.0,8.0,0.0,0
105,2026-03-07 19:26:00,Ios,IN,organic,0,3,0.0,35.0,0.0,0
106,2026-03-02 17:59:00,Android,IN,paid_social,0,5,0.0,52.0,0.0,1
107,2026-02-06 05:35:00,Android,US,influencer,0,2,0.0,11.0,0.0,0
108,2026-03-20 09:28:00,Ios,DE,organic,0,8,4.0,101.0,0.0,73
109,2026-03-08 20:32:00,Android,IN,paid_social,0,7,1.0,111.0,0.0,2
110,2026-01-30 03:49:00,Web,GB,unknown,0,5,4.0,39.0,0.0,1
111,2026-01-05 04:25:00,Ios,US,influencer,0,5,5.0,70.0,0.0,119
112,2026-03-30 23:53:00,Android,US,influencer,0,5,4.0,46.0,0.0,1
113,2026-01-27 10:27:00,Ios,BR,organic,0,9,2.0,84.0,0.0,7
114,2026-02-13 15:57:00,Web,DE,organic,0,7,5.0,70.0,0.0,3
115,2026-03-14 19:47:00,Ios,IN,paid_social,0,1,0.0,9.0,0.0,0
116,2026-01-22 00:37:00,Ios,US,organic,0,2,5.0,10.0,0.0,1
117,2026-02-22 16:28:00,Ios,US,influencer,1,14,10.0,210.0,18.81,112
118,2026-03-17 18:01:00,Android,IN,cross_promo,0,1,2.0,12.0,0.0,0
119,2026-01-17 03:05:00,Android,IN,organic,0,1,0.0,15.0,0.0,0
