match_id,player_id,match_time,item_equipped,won,match_duration_min
1,2,2026-01-04 11:27:00,  Healing Charm ,1,21
2,2,2026-01-04 20:28:00,Aegis Shield,1,25
3,2,2026-01-07 16:29:00,Healing Charm,0,22
4,2,2026-01-07 00:44:00,Lucky Coin,1,13
5,2,2026-01-06 22:03:00,Healing Charm,0,21
6,2,2026-01-07 01:53:00,Aegis Shield,0,14
7,2,2026-01-08 00:45:00,Storm Bow,1,13
8,2,2026-01-08 02:43:00,Phoenix Blade,1,9
9,2,2026-01-08 01:59:00,Rusty Dagger,0,7
10,2,2026-01-09 02:51:00,Storm Bow,1,15
11,2,2026-01-10 08:11:00,Rusty Dagger,0,9
12,2,2026-01-10 07:15:00,Aegis Shield,1,11
13,2,2026-01-12 07:13:00,Iron Sword,0,8
14,2,2026-01-12 17:50:00,Healing Charm,1,20
15,2,2026-01-13 10:45:00,Lucky Coin,0,9
16,2,2026-01-13 23:09:00,  Rusty Dagger ,1,22
17,2,2026-01-14 08:19:00,Rusty Dagger,0,5
18,2,2026-01-14 14:49:00,Phoenix Blade,1,12
19,2,2026-01-15 17:26:00,Aegis Shield,0,25
20,2,2026-01-15 01:38:00,  Plate Mail ,1,20
21,2,2026-01-15 20:46:00,Iron Sword,1,6
22,2,2026-01-15 00:11:00,Frost Wand,0,19
23,2,2026-01-16 05:44:00,Plate Mail,1,18
24,2,2026-01-15 22:54:00,Rusty Dagger,0,16
25,2,2026-01-16 23:36:00,Aegis Shield,0,13
26,3,2026-03-11 00:27:00,Rusty Dagger,1,25
27,3,2026-03-10 22:45:00,Phoenix Blade,1,17
28,3,2026-03-12 18:22:00,Frost Wand,1,11
29,3,2026-03-14 00:09:00,Lucky Coin,1,21
30,3,2026-03-14 19:55:00,Rusty Dagger,0,8
31,3,2026-03-15 19:43:00,Storm Bow,1,17
32,3,2026-03-15 17:44:00,Storm Bow,1,25
33,3,2026-03-15 19:13:00,Aegis Shield,0,19
34,3,2026-03-15 00:48:00,Rusty Dagger,1,9
35,3,2026-04-12 16:53:00,  Phoenix Blade ,0,12
36,3,2026-04-12 21:41:00,RUSTY DAGGER,1,11
37,3,2026-04-12 15:30:00,Aegis Shield,1,7
38,3,2026-04-12 20:58:00,Leather Vest,0,8
