player_id,install_date,platform,country,acquisition_channel
1,2026-01-14 09:28:00,IOS,IN,organic
2,2026-01-03 21:26:00,android,US,cross_promo
3,2026-03-08 22:08:00,Android ,BR,organic
4,2026-03-11 15:12:00,android,US,organic
5,2026-03-07 16:49:00, iOS,GB,influencer
6,2026-03-14 11:31:00,IOS,US,organic
7,2026-01-22 21:30:00, iOS,DE,organic
8,2026-01-02 18:13:00,Android ,TR,
9,2026-02-18 16:11:00,Android ,DE,paid_social
10,2026-03-19 05:13:00,Android,IN,paid_social
11,2026-01-09 21:23:00,WEB,JP,organic
12,2026-01-23 04:21:00,ANDROID,GB,organic
13,2026-03-13 23:24:00,ios,GB,organic
14,2026-02-07 14:06:00,ANDROID,DE,organic
15,2026-02-16 19:29:00, iOS,BR,cross_promo
16,2026-01-26 21:23:00,Android,TR,cross_promo
17,2026-02-09 08:47:00,ANDROID,GB,organic
18,2026-03-26 04:33:00,ios,GB,influencer
19,2026-02-01 08:56:00,WEB,DE,influencer
20,2026-03-20 09:22:00,ios,IN,paid_social
21,2026-01-28 22:20:00,Android,DE,paid_social
22,2026-01-18 18:05:00,Web,US,organic
23,2026-03-25 19:57:00,ANDROID,DE,organic
24,2026-01-24 02:48:00,ANDROID,JP,paid_social
25,2026-03-24 12:34:00,Android ,BR,organic
26,2026-01-21 11:57:00,ANDROID,DE,organic
27,2026-01-25 19:31:00,ANDROID,FR,organic
28,2026-01-02 14:47:00,Android ,US,organic
29,2026-02-06 08:55:00,Android,US,organic
30,2026-02-13 06:05:00, iOS,US,organic
31,2026-03-29 22:05:00,Android,US,cross_promo
32,2026-02-08 22:29:00, iOS,IN,influencer
33,2026-03-08 16:55:00,ios,US,paid_social
34,2026-01-26 04:06:00,Android ,GB,cross_promo
35,2026-01-22 11:13:00, iOS,DE,organic
36,2026-02-24 20:30:00,android,US,influencer
37,2026-02-10 06:52:00,ANDROID,,paid_social
38,2026-02-06 08:59:00, iOS,FR,influencer
39,2026-02-07 13:50:00,Android ,FR,organic
40,2026-01-02 10:54:00, iOS,GB,organic
41,2026-01-19 17:17:00,WEB,DE,organic
42,2026-01-01 12:29:00,Web,BR,influencer
43,2026-03-17 01:26:00,Android,US,cross_promo
44,2026-01-27 10:03:00,Android ,,organic
45,2026-01-13 03:31:00,Android ,TR,paid_social
46,2026-01-21 13:16:00,iOS,IN,cross_promo
47,2026-01-16 10:44:00,Android ,IN,influencer
48,2026-01-10 02:37:00,Android,BR,organic
49,2026-02-10 17:04:00,IOS,US,organic
50,2026-02-20 08:03:00,ANDROID,IN,organic
51,2026-02-22 17:22:00,ios,US,organic
52,2026-02-17 16:47:00,IOS,BR,organic
53,2026-01-26 11:43:00,Android,GB,influencer
54,2026-01-07 16:43:00,Android ,JP,influencer
55,2026-03-23 20:52:00,android,IN,organic
56,2026-03-31 01:08:00,android,FR,paid_social
57,2026-02-10 23:17:00,Android,GB,
58,2026-03-04 15:49:00, iOS,IN,organic
59,2026-03-06 02:52:00,Android,GB,paid_social
60,2026-03-25 18:20:00,iOS,IN,organic
61,2026-02-18 20:29:00,Android ,DE,influencer
62,2026-03-14 17:04:00,ANDROID,BR,organic
63,2026-01-25 20:53:00,ANDROID,TR,organic
64,2026-02-28 06:38:00,android,IN,organic
65,2026-03-23 14:15:00,ios,BR,organic
66,2026-01-21 01:02:00, iOS,BR,organic
67,2026-02-09 11:41:00,Android,GB,cross_promo
68,2026-02-21 08:47:00,IOS,JP,organic
69,2026-02-17 06:55:00,iOS,DE,organic
70,2026-01-31 13:10:00, iOS,US,influencer
71,2026-03-31 18:23:00,Android,IN,paid_social
72,2026-03-27 00:23:00,ios,BR,paid_social
73,2026-01-13 00:42:00,Android,US,influencer
74,2026-01-12 02:09:00, iOS,US,paid_social
75,2026-03-23 05:22:00, iOS,DE,
76,2026-02-20 12:44:00,ios,IN,paid_social
77,2026-03-28 10:19:00,Android ,FR,organic
78,2026-01-12 02:20:00,android,US,influencer
79,2026-03-03 09:43:00,Android,IN,cross_promo
80,2026-03-05 20:12:00,ANDROID,US,organic
81,2026-01-01 14:02:00,WEB,US,paid_social
82,2026-01-05 14:30:00,iOS,US,organic
83,2026-03-08 07:33:00,android,TR,
84,2026-02-17 15:27:00, iOS,,influencer
85,2026-01-26 13:20:00,android,IN,influencer
86,2026-02-01 21:47:00,ANDROID,US,organic
