month,sp500_nominal,sp500_real,cape,vix,gold_price,rate_10y,sp_return_m,real_return_m,volatility_12m,drawdown,year,decade
1871-01-01,4.44,109.05,,,18.93,5.32,,,,0.0,1871,1870s
1871-02-01,4.5,107.25,,,18.93,5.32,0.0135,-0.0165,,-0.0165,1871,1870s
1871-03-01,4.61,108.27,,,18.93,5.33,0.0244,0.0095,,-0.0072,1871,1870s
1871-04-01,4.74,115.54,,,18.93,5.33,0.0282,0.0671,,0.0,1871,1870s
1871-05-01,4.86,121.22,,,18.93,5.33,0.0253,0.0492,,0.0,1871,1870s
1871-06-01,4.82,122.11,,,18.93,5.34,-0.0082,0.0073,,0.0,1871,1870s
1871-07-01,4.73,119.83,,,18.93,5.34,-0.0187,-0.0187,,-0.0187,1871,1870s
1871-08-01,4.79,123.29,,,18.93,5.34,0.0127,0.0289,,0.0,1871,1870s
1871-09-01,4.84,121.66,,,18.93,5.35,0.0104,-0.0132,,-0.0132,1871,1870s
1871-10-01,4.59,113.6,,,18.93,5.35,-0.0517,-0.0663,,-0.0786,1871,1870s
1871-11-01,4.64,114.84,,,18.93,5.35,0.0109,0.0109,,-0.0685,1871,1870s
1871-12-01,4.74,114.67,,,18.93,5.36,0.0216,-0.0015,,-0.0699,1871,1870s
1872-01-01,4.86,117.57,,,18.94,5.36,0.0253,0.0253,0.0813,-0.0464,1872,1870s
1872-02-01,4.88,118.05,,,18.94,5.38,0.0041,0.0041,0.0811,-0.0425,1872,1870s
1872-03-01,5.04,120.12,,,18.94,5.4,0.0328,0.0175,0.0835,-0.0257,1872,1870s
1872-04-01,5.18,120.77,,,18.94,5.42,0.0278,0.0054,0.0834,-0.0204,1872,1870s
1872-05-01,5.18,120.77,,,18.94,5.43,0.0,0.0,0.0814,-0.0204,1872,1870s
1872-06-01,5.13,120.48,,,18.94,5.45,-0.0097,-0.0024,0.0816,-0.0228,1872,1870s
1872-07-01,5.1,121.55,,,18.94,5.47,-0.0058,0.0089,0.0784,-0.0141,1872,1870s
1872-08-01,5.04,119.24,,,18.94,5.49,-0.0118,-0.019,0.0801,-0.0328,1872,1870s
1872-09-01,4.95,116.25,,,18.94,5.51,-0.0179,-0.0251,0.0828,-0.0571,1872,1870s
1872-10-01,4.97,119.33,,,18.94,5.52,0.004,0.0265,0.0585,-0.0321,1872,1870s
1872-11-01,4.95,115.41,,,18.94,5.54,-0.004,-0.0329,0.0593,-0.0639,1872,1870s
1872-12-01,5.07,119.95,,,18.94,5.56,0.0242,0.0393,0.0601,-0.0271,1872,1870s
1873-01-01,5.11,120.89,,,18.94,5.58,0.0079,0.0078,0.0563,-0.0195,1873,1870s
1873-02-01,5.15,119.21,,,18.94,5.57,0.0078,-0.0139,0.0564,-0.0331,1873,1870s
1873-03-01,5.11,118.28,,,18.94,5.56,-0.0078,-0.0078,0.0483,-0.0406,1873,1870s
1873-04-01,5.04,116.66,,,18.94,5.55,-0.0137,-0.0137,0.0407,-0.0538,1873,1870s
1873-05-01,5.05,119.47,,,18.94,5.54,0.002,0.0241,0.0409,-0.031,1873,1870s
1873-06-01,4.98,121.39,,,18.94,5.53,-0.0139,0.0161,0.0419,-0.0154,1873,1870s
1873-07-01,4.97,121.14,,,18.94,5.53,-0.002,-0.0021,0.0417,-0.0174,1873,1870s
1873-08-01,4.97,121.14,,,18.94,5.52,0.0,0.0,0.0404,-0.0174,1873,1870s
1873-09-01,4.59,111.88,,,18.94,5.51,-0.0765,-0.0764,0.0849,-0.0925,1873,1870s
1873-10-01,4.19,104.5,,,18.94,5.5,-0.0871,-0.066,0.1163,-0.1524,1873,1870s
1873-11-01,4.04,103.99,,,18.94,5.49,-0.0358,-0.0049,0.1178,-0.1565,1873,1870s
1873-12-01,4.42,111.1,,,18.94,5.48,0.0941,0.0684,0.1578,-0.0989,1873,1870s
1874-01-01,4.66,115.33,,,18.94,5.47,0.0543,0.0381,0.1701,-0.0646,1874,1870s
1874-02-01,4.8,118.8,,,18.94,5.44,0.03,0.0301,0.1735,-0.0364,1874,1870s
1874-03-01,4.73,117.07,,,18.94,5.4,-0.0146,-0.0146,0.1738,-0.0505,1874,1870s
1874-04-01,4.6,115.63,,,18.94,5.37,-0.0275,-0.0123,0.1751,-0.0621,1874,1870s
1874-05-01,4.48,113.5,,,18.94,5.34,-0.0261,-0.0184,0.1758,-0.0794,1874,1870s
1874-06-01,4.46,115.72,,,18.94,5.3,-0.0045,0.0196,0.1758,-0.0614,1874,1870s
1874-07-01,4.46,114.8,,,18.94,5.27,0.0,-0.008,0.1759,-0.0689,1874,1870s
1874-08-01,4.47,115.98,,,18.94,5.24,0.0022,0.0103,0.176,-0.0593,1874,1870s
1874-09-01,4.54,117.8,,,18.94,5.2,0.0157,0.0157,0.1601,-0.0445,1874,1870s
1874-10-01,4.53,119.47,,,18.94,5.17,-0.0022,0.0142,0.1292,-0.031,1874,1870s
1874-11-01,4.57,121.52,,,18.94,5.14,0.0088,0.0172,0.1204,-0.0144,1874,1870s
1874-12-01,4.54,120.72,,,18.94,5.1,-0.0066,-0.0066,0.0797,-0.0208,1874,1870s
1875-01-01,4.54,120.72,,,18.94,5.07,0.0,0.0,0.0562,-0.0208,1875,1870s
1875-02-01,4.53,120.46,,,18.94,5.03,-0.0022,-0.0022,0.0441,-0.023,1875,1870s
1875-03-01,4.59,122.05,,,18.94,4.99,0.0132,0.0132,0.046,-0.0101,1875,1870s
1875-04-01,4.65,122.63,,,18.94,4.95,0.0131,0.0048,0.0393,-0.0054,1875,1870s
1875-05-01,4.47,120.86,,,18.94,4.91,-0.0387,-0.0144,0.0495,-0.0197,1875,1870s
1875-06-01,4.38,120.45,,,18.94,4.87,-0.0201,-0.0034,0.0533,-0.023,1875,1870s
1875-07-01,4.39,120.72,,,18.94,4.83,0.0023,0.0022,0.0535,-0.0208,1875,1870s
1875-08-01,4.41,120.25,,,18.94,4.79,0.0046,-0.0039,0.0537,-0.0247,1875,1870s
1875-09-01,4.37,120.17,,,18.94,4.75,-0.0091,-0.0007,0.0509,-0.0253,1875,1870s
1875-10-01,4.3,118.25,,,18.94,4.71,-0.016,-0.016,0.0525,-0.0409,1875,1870s
1875-11-01,4.37,121.21,,,18.94,4.67,0.0163,0.025,0.055,-0.0169,1875,1870s
1875-12-01,4.37,122.26,,,18.94,4.63,0.0,0.0087,0.055,-0.0084,1875,1870s
1876-01-01,4.46,125.88,,,18.94,4.59,0.0206,0.0296,0.0599,0.0,1876,1870s
1876-02-01,4.52,127.57,,,18.94,4.58,0.0135,0.0134,0.0617,0.0,1876,1870s
1876-03-01,4.51,127.29,,,18.94,4.57,-0.0022,-0.0022,0.0599,-0.0022,1876,1870s
1876-04-01,4.34,123.57,,,18.94,4.56,-0.0377,-0.0292,0.0676,-0.0314,1876,1870s
1876-05-01,4.18,123.38,,,18.94,4.54,-0.0369,-0.0015,0.0667,-0.0328,1876,1870s
1876-06-01,4.15,125.97,,,18.94,4.53,-0.0072,0.021,0.0648,-0.0125,1876,1870s
